30	PASILLO 1B-IN ARCE 2	2013-06-18 10:57:13.425917	\N	1	1	1	0.000	0.000	09:00:00	15	1	3	t	2
34	PASILLO 3A-IN GOROSTIAGA 1	2013-06-18 10:57:13.425917	\N	1	1	1	0.000	0.000	09:00:00	15	2	3	t	5
8	IN L.M.CAMPOS/GOROST.	2011-06-13 16:27:46.107619	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
9	OUT L.M.CAMPOS/GOROST.	2011-06-13 16:27:46.107619	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
11	OUT L.M.CAMPOS/MAURE	2011-06-13 16:27:46.107619	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
10	IN L.M.CAMPOS/MAURE	2011-06-13 16:27:46.107619	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
12	IN ARCE Y MAURE	2011-06-13 16:27:46.107619	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
13	OUT ARCE Y MAURE	2011-06-13 16:27:46.107619	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
14	IN SUBSUELO1	2011-06-13 16:27:46.107619	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
15	OUT SUBSUELO1	2011-06-13 16:27:46.107619	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
16	IN SUBSUELO2	2011-06-13 16:27:46.107619	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
17	OUT SUBSUELO2	2011-06-13 16:27:46.107619	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
19	OUT TOTALES	2011-10-17 16:06:19.105023	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
22	IN MCCAFE - ACC.SUR	2011-12-02 13:41:59.020102	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
23	OUT MCCAFE - ACC.SUR	2011-12-02 13:41:59.020102	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
24	IN MCCAFE - ACC.NORTE	2012-04-11 16:30:38.852405	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
25	OUT MCCAFE - ACC.NORTE	2012-04-11 16:30:38.852405	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
26	IN MCDONALDS	2012-07-26 12:42:29.12412	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
27	OUT MCDONALDS	2012-07-26 12:42:29.12412	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
28	IN NIVEL 1	2013-06-17 17:39:15.901092	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
29	OUT NIVEL 1	2013-06-17 17:39:15.901092	\N	1	1	1	0.000	0.000	09:00:00	15	1	1	t	\N
31	PASILLO 1B-OUT ARCE 2	2013-06-18 10:57:13.425917	\N	1	1	1	0.000	0.000	09:00:00	15	1	3	t	2
32	PASILLO 1A-IN ARCE 3	2013-06-18 10:57:13.425917	\N	1	1	1	0.000	0.000	09:00:00	15	1	3	t	1
